TokenList:

 TK  Ln Type                      Lexeme         
657 164:Token: 34: WRSTR           WRSTR          
658 164:Token: 47: LEFT_PAREN      (              
659 164:Token: 39: STRING          LOOP test:           should be nice:       
660 164:Token: 53: RIGHT_PAREN     )              
661 164:Token: 54: SEMI_COLON      ;              
662 164:Token: 28: WRLN            WRLN           
663 164:Token: 54: SEMI_COLON      ;              
664 165:Token: 35: ID              k              
665 165:Token: 40: ASSIGN          :=             
666 165:Token: 38: INT_NUM         10             
667 165:Token: 54: SEMI_COLON      ;              
668 166:Token: 35: ID              m              
669 166:Token: 40: ASSIGN          :=             
670 166:Token: 38: INT_NUM         1              
671 166:Token: 54: SEMI_COLON      ;              
672 167:Token: 14: LOOP            LOOP           
673 168:Token: 12: IF              IF             
674 168:Token: 35: ID              m              
675 168:Token: 45: EQUAL           =              
676 168:Token: 35: ID              k              
677 168:Token: 22: THEN            THEN           
678 168:Token: 10: EXIT            EXIT           
679 168:Token: 54: SEMI_COLON      ;              
680 168:Token: 9 : END             END            
681 168:Token: 54: SEMI_COLON      ;              
682 170:Token: 35: ID              good           
683 170:Token: 40: ASSIGN          :=             
684 170:Token: 38: INT_NUM         1              
685 170:Token: 54: SEMI_COLON      ;              
686 171:Token: 14: LOOP            LOOP           
687 172:Token: 34: WRSTR           WRSTR          
688 172:Token: 47: LEFT_PAREN      (              
689 172:Token: 39: STRING          @              
690 172:Token: 53: RIGHT_PAREN     )              
691 172:Token: 54: SEMI_COLON      ;              
692 173:Token: 12: IF              IF             
693 173:Token: 35: ID              good           
694 173:Token: 45: EQUAL           =              
695 173:Token: 35: ID              m              
696 173:Token: 22: THEN            THEN           
697 173:Token: 10: EXIT            EXIT           
698 173:Token: 54: SEMI_COLON      ;              
699 173:Token: 9 : END             END            
700 173:Token: 54: SEMI_COLON      ;              
701 174:Token: 35: ID              good           
702 174:Token: 40: ASSIGN          :=             
703 174:Token: 35: ID              good           
704 174:Token: 51: PLUS            +              
705 174:Token: 38: INT_NUM         1              
706 174:Token: 54: SEMI_COLON      ;              
707 175:Token: 9 : END             END            
708 175:Token: 54: SEMI_COLON      ;              
709 177:Token: 28: WRLN            WRLN           
710 177:Token: 54: SEMI_COLON      ;              
711 178:Token: 35: ID              m              
712 178:Token: 40: ASSIGN          :=             
713 178:Token: 35: ID              m              
714 178:Token: 51: PLUS            +              
715 178:Token: 38: INT_NUM         1              
716 178:Token: 54: SEMI_COLON      ;              
717 179:Token: 9 : END             END            
718 179:Token: 54: SEMI_COLON      ;              
719 180:Token: 28: WRLN            WRLN           
720 180:Token: 54: SEMI_COLON      ;              
721 182:Token: 9 : END             END            
722 182:Token: 35: ID              LoopIf         
723 182:Token: 43: DOT             .              
724 183:Token: 62: EOF             End Of File    
