Token list:

 TK  Ln Type                      Lexeme
514 143:Token: 35: ID              k                                                                                                   
515 143:Token: 56: GRTR_THAN       >                                                                                                   
516 143:Token: 35: ID              k                                                                                                   
517 143:Token: 53: RIGHT_PAREN     )                                                                                                   
518 143:Token: 19: OR              OR                                                                                                  
519 143:Token: 47: LEFT_PAREN      (                                                                                                   
520 143:Token: 38: INT_NUM         10                                                                                                  
521 143:Token: 58: LESS_THAN       <                                                                                                   
522 143:Token: 38: INT_NUM         10                                                                                                  
523 143:Token: 53: RIGHT_PAREN     )                                                                                                   
524 143:Token: 22: THEN            THEN                                                                                                
525 144:Token: 27: WRINT           WRINT                                                                                               
526 144:Token: 47: LEFT_PAREN      (                                                                                                   
527 144:Token: 38: INT_NUM         1111                                                                                                
528 144:Token: 53: RIGHT_PAREN     )                                                                                                   
529 144:Token: 54: SEMI_COLON      ;                                                                                                   
530 145:Token: 28: WRLN            WRLN                                                                                                
531 145:Token: 54: SEMI_COLON      ;                                                                                                   
532 146:Token: 8 : ELSE            ELSE                                                                                                
533 147:Token: 12: IF              IF                                                                                                  
534 147:Token: 47: LEFT_PAREN      (                                                                                                   
535 147:Token: 35: ID              m                                                                                                   
536 147:Token: 59: LESS_THAN_EQ    <=                                                                                                  
537 147:Token: 38: INT_NUM         71                                                                                                  
538 147:Token: 53: RIGHT_PAREN     )                                                                                                   
539 147:Token: 22: THEN            THEN                                                                                                
540 148:Token: 27: WRINT           WRINT                                                                                               
541 148:Token: 47: LEFT_PAREN      (                                                                                                   
542 148:Token: 38: INT_NUM         1                                                                                                   
543 148:Token: 53: RIGHT_PAREN     )                                                                                                   
544 148:Token: 54: SEMI_COLON      ;                                                                                                   
545 149:Token: 28: WRLN            WRLN                                                                                                
546 149:Token: 54: SEMI_COLON      ;                                                                                                   
547 150:Token: 8 : ELSE            ELSE                                                                                                
548 151:Token: 27: WRINT           WRINT                                                                                               
549 151:Token: 47: LEFT_PAREN      (                                                                                                   
550 151:Token: 35: ID              m                                                                                                   
551 151:Token: 49: MULT            *                                                                                                   
552 151:Token: 38: INT_NUM         10000                                                                                               
553 151:Token: 53: RIGHT_PAREN     )                                                                                                   
554 151:Token: 54: SEMI_COLON      ;                                                                                                   
555 152:Token: 28: WRLN            WRLN                                                                                                
556 152:Token: 54: SEMI_COLON      ;                                                                                                   
557 153:Token: 9 : END             END                                                                                                 
558 153:Token: 54: SEMI_COLON      ;                                                                                                   
559 154:Token: 9 : END             END                                                                                                 
560 154:Token: 54: SEMI_COLON      ;                                                                                                   
561 156:Token: 34: WRSTR           WRSTR                                                                                               
562 156:Token: 47: LEFT_PAREN      (                                                                                                   
563 156:Token: 39: STRING          OR test(5.06):       should be  1:                                                                  
564 156:Token: 53: RIGHT_PAREN     )                                                                                                   
565 156:Token: 54: SEMI_COLON      ;                                                                                                   
566 157:Token: 12: IF              IF                                                                                                  
567 157:Token: 47: LEFT_PAREN      (                                                                                                   
568 157:Token: 38: INT_NUM         5                                                                                                   
569 157:Token: 56: GRTR_THAN       >                                                                                                   
570 157:Token: 38: INT_NUM         3                                                                                                   
571 157:Token: 53: RIGHT_PAREN     )                                                                                                   
572 157:Token: 19: OR              OR                                                                                                  
573 157:Token: 47: LEFT_PAREN      (                                                                                                   
574 157:Token: 35: ID              k                                                                                                   
575 157:Token: 49: MULT            *                                                                                                   
576 157:Token: 35: ID              m                                                                                                   
577 157:Token: 45: EQUAL           =                                                                                                   
578 157:Token: 47: LEFT_PAREN      (                                                                                                   
579 157:Token: 35: ID              k                                                                                                   
580 157:Token: 49: MULT            *                                                                                                   
581 157:Token: 35: ID              m                                                                                                   
582 157:Token: 48: MINUS           -                                                                                                   
583 157:Token: 38: INT_NUM         1                                                                                                   
584 157:Token: 53: RIGHT_PAREN     )                                                                                                   
585 157:Token: 53: RIGHT_PAREN     )                                                                                                   
586 157:Token: 22: THEN            THEN                                                                                                
587 158:Token: 27: WRINT           WRINT                                                                                               
588 158:Token: 47: LEFT_PAREN      (                                                                                                   
589 158:Token: 38: INT_NUM         1                                                                                                   
590 158:Token: 53: RIGHT_PAREN     )                                                                                                   
591 158:Token: 54: SEMI_COLON      ;                                                                                                   
592 158:Token: 28: WRLN            WRLN                                                                                                
593 158:Token: 54: SEMI_COLON      ;                                                                                                   
594 158:Token: 8 : ELSE            ELSE                                                                                                
595 158:Token: 27: WRINT           WRINT                                                                                               
596 158:Token: 47: LEFT_PAREN      (                                                                                                   
597 158:Token: 38: INT_NUM         9999                                                                                                
598 158:Token: 53: RIGHT_PAREN     )                                                                                                   
599 158:Token: 54: SEMI_COLON      ;                                                                                                   
600 158:Token: 28: WRLN            WRLN                                                                                                
601 158:Token: 54: SEMI_COLON      ;                                                                                                   
602 158:Token: 9 : END             END                                                                                                 
603 158:Token: 54: SEMI_COLON      ;                                                                                                   
604 160:Token: 34: WRSTR           WRSTR                                                                                               
605 160:Token: 47: LEFT_PAREN      (                                                                                                   
606 160:Token: 39: STRING          OR AND test(5.07):   should be  1:                                                                  
607 160:Token: 53: RIGHT_PAREN     )                                                                                                   
608 160:Token: 54: SEMI_COLON      ;                                                                                                   
609 161:Token: 12: IF              IF                                                                                                  
610 161:Token: 47: LEFT_PAREN      (                                                                                                   
611 161:Token: 38: INT_NUM         5                                                                                                   
612 161:Token: 58: LESS_THAN       <                                                                                                   
613 161:Token: 38: INT_NUM         3                                                                                                   
614 161:Token: 53: RIGHT_PAREN     )                                                                                                   
615 161:Token: 19: OR              OR                                                                                                  
616 161:Token: 47: LEFT_PAREN      (                                                                                                   
617 161:Token: 35: ID              k                                                                                                   
618 161:Token: 49: MULT            *                                                                                                   
619 161:Token: 35: ID              m                                                                                                   
620 161:Token: 58: LESS_THAN       <                                                                                                   
621 161:Token: 47: LEFT_PAREN      (                                                                                                   
622 161:Token: 35: ID              k                                                                                                   
623 161:Token: 49: MULT            *                                                                                                   
624 161:Token: 35: ID              m                                                                                                   
625 161:Token: 48: MINUS           -                                                                                                   
626 161:Token: 38: INT_NUM         1                                                                                                   
627 161:Token: 53: RIGHT_PAREN     )                                                                                                   
628 161:Token: 53: RIGHT_PAREN     )                                                                                                   
629 161:Token: 1 : AND             AND                                                                                                 
630 161:Token: 47: LEFT_PAREN      (                                                                                                   
631 161:Token: 38: INT_NUM         2                                                                                                   
632 161:Token: 45: EQUAL           =                                                                                                   
633 161:Token: 38: INT_NUM         2                                                                                                   
634 161:Token: 53: RIGHT_PAREN     )                                                                                                   
635 161:Token: 22: THEN            THEN                                                                                                
636 162:Token: 27: WRINT           WRINT                                                                                               
637 162:Token: 47: LEFT_PAREN      (                                                                                                   
638 162:Token: 38: INT_NUM         1                                                                                                   
639 162:Token: 53: RIGHT_PAREN     )                                                                                                   
640 162:Token: 54: SEMI_COLON      ;                                                                                                   
641 162:Token: 28: WRLN            WRLN                                                                                                
642 162:Token: 54: SEMI_COLON      ;                                                                                                   
643 162:Token: 8 : ELSE            ELSE                                                                                                
644 162:Token: 27: WRINT           WRINT                                                                                               
645 162:Token: 47: LEFT_PAREN      (                                                                                                   
646 162:Token: 38: INT_NUM         9999                                                                                                
647 162:Token: 53: RIGHT_PAREN     )                                                                                                   
648 162:Token: 54: SEMI_COLON      ;                                                                                                   
649 162:Token: 28: WRLN            WRLN                                                                                                
650 162:Token: 54: SEMI_COLON      ;                                                                                                   
651 162:Token: 9 : END             END                                                                                                 
652 162:Token: 54: SEMI_COLON      ;                                                                                                   
653 164:Token: 34: WRSTR           WRSTR                                                                                               
654 164:Token: 47: LEFT_PAREN      (                                                                                                   
655 164:Token: 39: STRING          OR AND test(5.08):   should be  1:                                                                  
656 164:Token: 53: RIGHT_PAREN     )                                                                                                   
657 164:Token: 54: SEMI_COLON      ;                                                                                                   
658 165:Token: 12: IF              IF                                                                                                  
659 165:Token: 47: LEFT_PAREN      (                                                                                                   
660 165:Token: 38: INT_NUM         5                                                                                                   
661 165:Token: 58: LESS_THAN       <                                                                                                   
662 165:Token: 38: INT_NUM         3                                                                                                   
663 165:Token: 53: RIGHT_PAREN     )                                                                                                   
664 165:Token: 1 : AND             AND                                                                                                 
665 165:Token: 47: LEFT_PAREN      (                                                                                                   
666 165:Token: 35: ID              k                                                                                                   
667 165:Token: 49: MULT            *                                                                                                   
668 165:Token: 35: ID              m                                                                                                   
669 165:Token: 58: LESS_THAN       <                                                                                                   
670 165:Token: 47: LEFT_PAREN      (                                                                                                   
671 165:Token: 35: ID              k                                                                                                   
672 165:Token: 49: MULT            *                                                                                                   
673 165:Token: 35: ID              m                                                                                                   
674 165:Token: 48: MINUS           -                                                                                                   
675 165:Token: 38: INT_NUM         1                                                                                                   
676 165:Token: 53: RIGHT_PAREN     )                                                                                                   
677 165:Token: 53: RIGHT_PAREN     )                                                                                                   
678 165:Token: 1 : AND             AND                                                                                                 
679 165:Token: 47: LEFT_PAREN      (                                                                                                   
680 165:Token: 38: INT_NUM         2                                                                                                   
681 165:Token: 45: EQUAL           =                                                                                                   
682 165:Token: 38: INT_NUM         2                                                                                                   
683 165:Token: 53: RIGHT_PAREN     )                                                                                                   
684 165:Token: 19: OR              OR                                                                                                  
685 165:Token: 47: LEFT_PAREN      (                                                                                                   
686 165:Token: 38: INT_NUM         1                                                                                                   
687 165:Token: 45: EQUAL           =                                                                                                   
688 165:Token: 38: INT_NUM         2                                                                                                   
689 165:Token: 53: RIGHT_PAREN     )                                                                                                   
690 165:Token: 22: THEN            THEN                                                                                                
691 166:Token: 27: WRINT           WRINT                                                                                               
692 166:Token: 47: LEFT_PAREN      (                                                                                                   
693 166:Token: 38: INT_NUM         9999                                                                                                
694 166:Token: 53: RIGHT_PAREN     )                                                                                                   
695 166:Token: 54: SEMI_COLON      ;                                                                                                   
696 166:Token: 28: WRLN            WRLN                                                                                                
697 166:Token: 54: SEMI_COLON      ;                                                                                                   
698 166:Token: 8 : ELSE            ELSE                                                                                                
699 166:Token: 27: WRINT           WRINT                                                                                               
700 166:Token: 47: LEFT_PAREN      (                                                                                                   
701 166:Token: 38: INT_NUM         1                                                                                                   
702 166:Token: 53: RIGHT_PAREN     )                                                                                                   
703 166:Token: 54: SEMI_COLON      ;                                                                                                   
704 166:Token: 28: WRLN            WRLN                                                                                                
705 166:Token: 54: SEMI_COLON      ;                                                                                                   
706 166:Token: 9 : END             END                                                                                                 
707 166:Token: 54: SEMI_COLON      ;                                                                                                   
708 168:Token: 34: WRSTR           WRSTR                                                                                               
709 168:Token: 47: LEFT_PAREN      (                                                                                                   
710 168:Token: 39: STRING          OR AND test(5.09):   should be  1:                                                                  
711 168:Token: 53: RIGHT_PAREN     )                                                                                                   
712 168:Token: 54: SEMI_COLON      ;                                                                                                   
713 169:Token: 12: IF              IF                                                                                                  
714 169:Token: 47: LEFT_PAREN      (                                                                                                   
715 169:Token: 38: INT_NUM         5                                                                                                   
716 169:Token: 58: LESS_THAN       <                                                                                                   
717 169:Token: 38: INT_NUM         3                                                                                                   
718 169:Token: 53: RIGHT_PAREN     )                                                                                                   
719 169:Token: 1 : AND             AND                                                                                                 
720 169:Token: 47: LEFT_PAREN      (                                                                                                   
721 169:Token: 35: ID              k                                                                                                   
722 169:Token: 49: MULT            *                                                                                                   
723 169:Token: 35: ID              m                                                                                                   
724 169:Token: 58: LESS_THAN       <                                                                                                   
725 169:Token: 47: LEFT_PAREN      (                                                                                                   
726 169:Token: 35: ID              k                                                                                                   
727 169:Token: 49: MULT            *                                                                                                   
728 169:Token: 35: ID              m                                                                                                   
729 169:Token: 48: MINUS           -                                                                                                   
730 169:Token: 38: INT_NUM         1                                                                                                   
731 169:Token: 53: RIGHT_PAREN     )                                                                                                   
732 169:Token: 53: RIGHT_PAREN     )                                                                                                   
733 169:Token: 1 : AND             AND                                                                                                 
734 169:Token: 47: LEFT_PAREN      (                                                                                                   
735 169:Token: 38: INT_NUM         2                                                                                                   
736 169:Token: 45: EQUAL           =                                                                                                   
737 169:Token: 38: INT_NUM         2                                                                                                   
738 169:Token: 53: RIGHT_PAREN     )                                                                                                   
739 169:Token: 19: OR              OR                                                                                                  
740 169:Token: 47: LEFT_PAREN      (                                                                                                   
741 169:Token: 38: INT_NUM         12                                                                                                  
742 169:Token: 45: EQUAL           =                                                                                                   
743 169:Token: 38: INT_NUM         2                                                                                                   
744 169:Token: 49: MULT            *                                                                                                   
745 169:Token: 38: INT_NUM         6                                                                                                   
746 169:Token: 53: RIGHT_PAREN     )                                                                                                   
747 169:Token: 22: THEN            THEN                                                                                                
748 170:Token: 27: WRINT           WRINT                                                                                               
749 170:Token: 47: LEFT_PAREN      (                                                                                                   
750 170:Token: 38: INT_NUM         1                                                                                                   
751 170:Token: 53: RIGHT_PAREN     )                                                                                                   
752 170:Token: 54: SEMI_COLON      ;                                                                                                   
753 170:Token: 28: WRLN            WRLN                                                                                                
754 170:Token: 54: SEMI_COLON      ;                                                                                                   
755 170:Token: 8 : ELSE            ELSE                                                                                                
756 170:Token: 27: WRINT           WRINT                                                                                               
757 170:Token: 47: LEFT_PAREN      (                                                                                                   
758 170:Token: 38: INT_NUM         9999                                                                                                
759 170:Token: 53: RIGHT_PAREN     )                                                                                                   
760 170:Token: 54: SEMI_COLON      ;                                                                                                   
761 170:Token: 28: WRLN            WRLN                                                                                                
762 170:Token: 54: SEMI_COLON      ;                                                                                                   
763 170:Token: 9 : END             END                                                                                                 
764 170:Token: 54: SEMI_COLON      ;                                                                                                   
765 172:Token: 34: WRSTR           WRSTR                                                                                               
766 172:Token: 47: LEFT_PAREN      (                                                                                                   
767 172:Token: 39: STRING          NOT test(5.10):      should be  1:                                                                  
768 172:Token: 53: RIGHT_PAREN     )                                                                                                   
769 172:Token: 54: SEMI_COLON      ;                                                                                                   
770 173:Token: 12: IF              IF                                                                                                  
771 173:Token: 17: NOT             NOT                                                                                                 
772 173:Token: 47: LEFT_PAREN      (                                                                                                   
773 173:Token: 38: INT_NUM         5                                                                                                   
774 173:Token: 58: LESS_THAN       <                                                                                                   
775 173:Token: 38: INT_NUM         3                                                                                                   
776 173:Token: 53: RIGHT_PAREN     )                                                                                                   
777 173:Token: 22: THEN            THEN                                                                                                
778 174:Token: 27: WRINT           WRINT                                                                                               
779 174:Token: 47: LEFT_PAREN      (                                                                                                   
780 174:Token: 38: INT_NUM         1                                                                                                   
781 174:Token: 53: RIGHT_PAREN     )                                                                                                   
782 174:Token: 54: SEMI_COLON      ;                                                                                                   
783 174:Token: 28: WRLN            WRLN                                                                                                
784 174:Token: 54: SEMI_COLON      ;                                                                                                   
785 174:Token: 8 : ELSE            ELSE                                                                                                
786 174:Token: 27: WRINT           WRINT                                                                                               
787 174:Token: 47: LEFT_PAREN      (                                                                                                   
788 174:Token: 38: INT_NUM         9999                                                                                                
789 174:Token: 53: RIGHT_PAREN     )                                                                                                   
790 174:Token: 54: SEMI_COLON      ;                                                                                                   
791 174:Token: 28: WRLN            WRLN                                                                                                
792 174:Token: 54: SEMI_COLON      ;                                                                                                   
793 174:Token: 9 : END             END                                                                                                 
794 174:Token: 54: SEMI_COLON      ;                                                                                                   
795 176:Token: 34: WRSTR           WRSTR                                                                                               
796 176:Token: 47: LEFT_PAREN      (                                                                                                   
797 176:Token: 39: STRING          NOT test(5.11):      should be  1:                                                                  
798 176:Token: 53: RIGHT_PAREN     )                                                                                                   
799 176:Token: 54: SEMI_COLON      ;                                                                                                   
800 177:Token: 12: IF              IF                                                                                                  
801 177:Token: 17: NOT             NOT                                                                                                 
802 177:Token: 47: LEFT_PAREN      (                                                                                                   
803 177:Token: 38: INT_NUM         5                                                                                                   
804 177:Token: 58: LESS_THAN       <                                                                                                   
805 177:Token: 38: INT_NUM         23                                                                                                  
806 177:Token: 53: RIGHT_PAREN     )                                                                                                   
807 177:Token: 22: THEN            THEN                                                                                                
808 178:Token: 27: WRINT           WRINT                                                                                               
809 178:Token: 47: LEFT_PAREN      (                                                                                                   
810 178:Token: 38: INT_NUM         9999                                                                                                
811 178:Token: 53: RIGHT_PAREN     )                                                                                                   
812 178:Token: 54: SEMI_COLON      ;                                                                                                   
813 178:Token: 28: WRLN            WRLN                                                                                                
814 178:Token: 54: SEMI_COLON      ;                                                                                                   
815 178:Token: 8 : ELSE            ELSE                                                                                                
816 178:Token: 27: WRINT           WRINT                                                                                               
817 178:Token: 47: LEFT_PAREN      (                                                                                                   
818 178:Token: 38: INT_NUM         1                                                                                                   
819 178:Token: 53: RIGHT_PAREN     )                                                                                                   
820 178:Token: 54: SEMI_COLON      ;                                                                                                   
821 178:Token: 28: WRLN            WRLN                                                                                                
822 178:Token: 54: SEMI_COLON      ;                                                                                                   
823 178:Token: 9 : END             END                                                                                                 
824 178:Token: 54: SEMI_COLON      ;                                                                                                   
825 180:Token: 28: WRLN            WRLN                                                                                                
826 180:Token: 54: SEMI_COLON      ;                                                                                                   
827 182:Token: 34: WRSTR           WRSTR                                                                                               
828 182:Token: 47: LEFT_PAREN      (                                                                                                   
829 182:Token: 39: STRING          Enter 1 and press <return> to continue):                                                            
830 182:Token: 53: RIGHT_PAREN     )                                                                                                   
831 182:Token: 54: SEMI_COLON      ;                                                                                                   
832 183:Token: 35: ID              ugly                                                                                                
833 183:Token: 40: ASSIGN          :=                                                                                                  
834 183:Token: 32: RDINT           RDINT                                                                                               
835 183:Token: 47: LEFT_PAREN      (                                                                                                   
836 183:Token: 53: RIGHT_PAREN     )                                                                                                   
837 183:Token: 54: SEMI_COLON      ;                                                                                                   
838 185:Token: 14: LOOP            LOOP                                                                                                
839 186:Token: 12: IF              IF                                                                                                  
840 186:Token: 35: ID              ugly                                                                                                
841 186:Token: 45: EQUAL           =                                                                                                   
842 186:Token: 38: INT_NUM         1                                                                                                   
843 186:Token: 22: THEN            THEN                                                                                                
844 186:Token: 10: EXIT            EXIT                                                                                                
845 186:Token: 54: SEMI_COLON      ;                                                                                                   
846 186:Token: 9 : END             END                                                                                                 
847 186:Token: 54: SEMI_COLON      ;                                                                                                   
848 187:Token: 34: WRSTR           WRSTR                                                                                               
849 187:Token: 47: LEFT_PAREN      (                                                                                                   
850 187:Token: 39: STRING          Invalid input...Enter 1 and press <return> to continue:                                             
851 187:Token: 53: RIGHT_PAREN     )                                                                                                   
852 187:Token: 54: SEMI_COLON      ;                                                                                                   
853 188:Token: 35: ID              ugly                                                                                                
854 188:Token: 40: ASSIGN          :=                                                                                                  
855 188:Token: 32: RDINT           RDINT                                                                                               
856 188:Token: 47: LEFT_PAREN      (                                                                                                   
857 188:Token: 53: RIGHT_PAREN     )                                                                                                   
858 188:Token: 54: SEMI_COLON      ;                                                                                                   
859 189:Token: 9 : END             END                                                                                                 
860 189:Token: 54: SEMI_COLON      ;                                                                                                   
861 190:Token: 29: CLS             CLS                                                                                                 
862 190:Token: 54: SEMI_COLON      ;                                                                                                   
863 196:Token: 34: WRSTR           WRSTR                                                                                               
864 196:Token: 47: LEFT_PAREN      (                                                                                                   
865 196:Token: 39: STRING          Part 3: LOOP test (1-X)                                                                             
866 196:Token: 53: RIGHT_PAREN     )                                                                                                   
867 196:Token: 54: SEMI_COLON      ;                                                                                                   
868 196:Token: 28: WRLN            WRLN                                                                                                
869 196:Token: 54: SEMI_COLON      ;                                                                                                   
870 197:Token: 34: WRSTR           WRSTR                                                                                               
871 197:Token: 47: LEFT_PAREN      (                                                                                                   
872 197:Token: 39: STRING          _______________________                                                                             
873 197:Token: 53: RIGHT_PAREN     )                                                                                                   
874 197:Token: 54: SEMI_COLON      ;                                                                                                   
875 197:Token: 28: WRLN            WRLN                                                                                                
876 197:Token: 54: SEMI_COLON      ;                                                                                                   
877 197:Token: 28: WRLN            WRLN                                                                                                
878 197:Token: 54: SEMI_COLON      ;                                                                                                   
879 199:Token: 34: WRSTR           WRSTR                                                                                               
880 199:Token: 47: LEFT_PAREN      (                                                                                                   
881 199:Token: 39: STRING          Enter X:                                                                                            
882 199:Token: 53: RIGHT_PAREN     )                                                                                                   
883 199:Token: 54: SEMI_COLON      ;                                                                                                   
884 200:Token: 35: ID              k                                                                                                   
885 200:Token: 40: ASSIGN          :=                                                                                                  
886 200:Token: 32: RDINT           RDINT                                                                                               
887 200:Token: 47: LEFT_PAREN      (                                                                                                   
888 200:Token: 53: RIGHT_PAREN     )                                                                                                   
889 200:Token: 54: SEMI_COLON      ;                                                                                                   
890 200:Token: 28: WRLN            WRLN                                                                                                
891 200:Token: 54: SEMI_COLON      ;                                                                                                   
892 202:Token: 35: ID              m                                                                                                   
893 202:Token: 40: ASSIGN          :=                                                                                                  
894 202:Token: 38: INT_NUM         1                                                                                                   
895 202:Token: 54: SEMI_COLON      ;                                                                                                   
896 203:Token: 14: LOOP            LOOP                                                                                                
897 204:Token: 12: IF              IF                                                                                                  
898 204:Token: 35: ID              m                                                                                                   
899 204:Token: 45: EQUAL           =                                                                                                   
900 204:Token: 35: ID              k                                                                                                   
901 204:Token: 51: PLUS            +                                                                                                   
902 204:Token: 38: INT_NUM         1                                                                                                   
903 204:Token: 22: THEN            THEN                                                                                                
904 204:Token: 10: EXIT            EXIT                                                                                                
905 204:Token: 54: SEMI_COLON      ;                                                                                                   
906 204:Token: 9 : END             END                                                                                                 
907 204:Token: 54: SEMI_COLON      ;                                                                                                   
908 206:Token: 27: WRINT           WRINT                                                                                               
909 206:Token: 47: LEFT_PAREN      (                                                                                                   
910 206:Token: 35: ID              m                                                                                                   
911 206:Token: 53: RIGHT_PAREN     )                                                                                                   
912 206:Token: 54: SEMI_COLON      ;                                                                                                   
913 207:Token: 28: WRLN            WRLN                                                                                                
914 207:Token: 54: SEMI_COLON      ;                                                                                                   
915 209:Token: 35: ID              m                                                                                                   
916 209:Token: 40: ASSIGN          :=                                                                                                  
917 209:Token: 35: ID              m                                                                                                   
918 209:Token: 51: PLUS            +                                                                                                   
919 209:Token: 38: INT_NUM         1                                                                                                   
920 209:Token: 54: SEMI_COLON      ;                                                                                                   
921 210:Token: 9 : END             END                                                                                                 
922 210:Token: 54: SEMI_COLON      ;                                                                                                   
923 212:Token: 28: WRLN            WRLN                                                                                                
924 212:Token: 54: SEMI_COLON      ;                                                                                                   
925 214:Token: 34: WRSTR           WRSTR                                                                                               
926 214:Token: 47: LEFT_PAREN      (                                                                                                   
927 214:Token: 39: STRING          Enter 1 and press <return> to continue):                                                            
928 214:Token: 53: RIGHT_PAREN     )                                                                                                   
929 214:Token: 54: SEMI_COLON      ;                                                                                                   
930 215:Token: 35: ID              ugly                                                                                                
931 215:Token: 40: ASSIGN          :=                                                                                                  
932 215:Token: 32: RDINT           RDINT                                                                                               
933 215:Token: 47: LEFT_PAREN      (                                                                                                   
934 215:Token: 53: RIGHT_PAREN     )                                                                                                   
935 215:Token: 54: SEMI_COLON      ;                                                                                                   
936 217:Token: 14: LOOP            LOOP                                                                                                
937 218:Token: 12: IF              IF                                                                                                  
938 218:Token: 35: ID              ugly                                                                                                
939 218:Token: 45: EQUAL           =                                                                                                   
940 218:Token: 38: INT_NUM         1                                                                                                   
941 218:Token: 22: THEN            THEN                                                                                                
942 218:Token: 10: EXIT            EXIT                                                                                                
943 218:Token: 54: SEMI_COLON      ;                                                                                                   
944 218:Token: 9 : END             END                                                                                                 
945 218:Token: 54: SEMI_COLON      ;                                                                                                   
946 219:Token: 34: WRSTR           WRSTR                                                                                               
947 219:Token: 47: LEFT_PAREN      (                                                                                                   
948 219:Token: 39: STRING          Invalid input...Enter 1 and press <return> to continue:                                             
949 219:Token: 53: RIGHT_PAREN     )                                                                                                   
950 219:Token: 54: SEMI_COLON      ;                                                                                                   
951 220:Token: 35: ID              ugly                                                                                                
952 220:Token: 40: ASSIGN          :=                                                                                                  
953 220:Token: 32: RDINT           RDINT                                                                                               
954 220:Token: 47: LEFT_PAREN      (                                                                                                   
955 220:Token: 53: RIGHT_PAREN     )                                                                                                   
956 220:Token: 54: SEMI_COLON      ;                                                                                                   
957 221:Token: 9 : END             END                                                                                                 
958 221:Token: 54: SEMI_COLON      ;                                                                                                   
959 222:Token: 29: CLS             CLS                                                                                                 
960 222:Token: 54: SEMI_COLON      ;                                                                                                   
961 228:Token: 34: WRSTR           WRSTR                                                                                               
962 228:Token: 47: LEFT_PAREN      (                                                                                                   
963 228:Token: 39: STRING          Part 4: Nested LOOP test (pretty pyramid)                                                           
964 228:Token: 53: RIGHT_PAREN     )                                                                                                   
965 228:Token: 54: SEMI_COLON      ;                                                                                                   
966 228:Token: 28: WRLN            WRLN                                                                                                
967 228:Token: 54: SEMI_COLON      ;                                                                                                   
968 229:Token: 34: WRSTR           WRSTR                                                                                               
969 229:Token: 47: LEFT_PAREN      (                                                                                                   
970 229:Token: 39: STRING          _________________________________________                                                           
971 229:Token: 53: RIGHT_PAREN     )                                                                                                   
972 229:Token: 54: SEMI_COLON      ;                                                                                                   
973 229:Token: 28: WRLN            WRLN                                                                                                
974 229:Token: 54: SEMI_COLON      ;                                                                                                   
975 229:Token: 28: WRLN            WRLN                                                                                                
976 229:Token: 54: SEMI_COLON      ;                                                                                                   
977 231:Token: 34: WRSTR           WRSTR                                                                                               
978 231:Token: 47: LEFT_PAREN      (                                                                                                   
979 231:Token: 39: STRING          Enter height of the pyramid:                                                                        
980 231:Token: 53: RIGHT_PAREN     )                                                                                                   
981 231:Token: 54: SEMI_COLON      ;                                                                                                   
982 232:Token: 35: ID              k                                                                                                   
983 232:Token: 40: ASSIGN          :=                                                                                                  
984 232:Token: 32: RDINT           RDINT                                                                                               
985 232:Token: 47: LEFT_PAREN      (                                                                                                   
986 232:Token: 53: RIGHT_PAREN     )                                                                                                   
987 232:Token: 54: SEMI_COLON      ;                                                                                                   
988 232:Token: 28: WRLN            WRLN                                                                                                
989 232:Token: 54: SEMI_COLON      ;                                                                                                   
990 234:Token: 35: ID              m                                                                                                   
991 234:Token: 40: ASSIGN          :=                                                                                                  
992 234:Token: 38: INT_NUM         1                                                                                                   
993 234:Token: 54: SEMI_COLON      ;                                                                                                   
994 235:Token: 14: LOOP            LOOP                                                                                                
995 236:Token: 12: IF              IF                                                                                                  
996 236:Token: 35: ID              m                                                                                                   
997 236:Token: 45: EQUAL           =                                                                                                   
998 236:Token: 35: ID              k                                                                                                   
999 236:Token: 51: PLUS            +                                                                                                   
1000 236:Token: 38: INT_NUM         1                                                                                                   
1001 236:Token: 22: THEN            THEN                                                                                                
1002 236:Token: 10: EXIT            EXIT                                                                                                
1003 236:Token: 54: SEMI_COLON      ;                                                                                                   
1004 236:Token: 9 : END             END                                                                                                 
1005 236:Token: 54: SEMI_COLON      ;                                                                                                   
1006 238:Token: 35: ID              good                                                                                                
1007 238:Token: 40: ASSIGN          :=                                                                                                  
1008 238:Token: 38: INT_NUM         1                                                                                                   
1009 238:Token: 54: SEMI_COLON      ;                                                                                                   
1010 239:Token: 14: LOOP            LOOP                                                                                                
1011 240:Token: 34: WRSTR           WRSTR                                                                                               
1012 240:Token: 47: LEFT_PAREN      (                                                                                                   
1013 240:Token: 39: STRING          @                                                                                                   
1014 240:Token: 53: RIGHT_PAREN     )                                                                                                   
1015 240:Token: 54: SEMI_COLON      ;                                                                                                   
1016 241:Token: 12: IF              IF                                                                                                  
1017 241:Token: 35: ID              good                                                                                                
1018 241:Token: 45: EQUAL           =                                                                                                   
1019 241:Token: 35: ID              m                                                                                                   
1020 241:Token: 22: THEN            THEN                                                                                                
1021 241:Token: 10: EXIT            EXIT                                                                                                
1022 241:Token: 54: SEMI_COLON      ;                                                                                                   
1023 241:Token: 9 : END             END                                                                                                 
1024 241:Token: 54: SEMI_COLON      ;                                                                                                   
1025 242:Token: 35: ID              good                                                                                                
1026 242:Token: 40: ASSIGN          :=                                                                                                  
1027 242:Token: 35: ID              good                                                                                                
1028 242:Token: 51: PLUS            +                                                                                                   
1029 242:Token: 38: INT_NUM         1                                                                                                   
